City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
226,Cam Ranh,VN,89.56,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
228,Santa Isabel Do Rio Negro,BR,72.82,overcast clouds,-0.4139,-65.0192,Hotel GSA
230,Trairi,BR,74.55,broken clouds,-3.2778,-39.2689,janelas do mar
236,Puerto Escondido,MX,81.99,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
238,Wajir,KE,80.56,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
240,Sahuaripa,MX,75.81,clear sky,29.05,-109.2333,Estatua de Sahuaripa
241,Ambilobe,MG,72.55,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
244,Jalu,LY,71.44,overcast clouds,29.0331,21.5482,صاحبة الفخامة
248,Fare,PF,82.71,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
249,Diffa,NE,82.6,broken clouds,13.3154,12.6113,ProDAF/Diffa
250,Loma Bonita,PA,80.78,overcast clouds,8.3833,-80.1667,Posada Acuarela Farallón (Panamá)
253,Palm Coast,US,72.07,scattered clouds,29.585,-81.2078,Hammock Beach Golf Resort & Spa
254,Kieta,PG,84.45,light rain,-6.2167,155.6333,Uruna Bay Retreat
256,Shingu,JP,72.43,heavy intensity rain,33.7333,135.9833,Shingu UI Hotel
257,Micheweni,TZ,78.33,moderate rain,-4.9667,39.8333,
262,Kahului,US,76.84,broken clouds,20.8947,-156.47,Maui Seaside Hotel
265,Pundaguitan,PH,81.55,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
266,Borba,BR,74.19,broken clouds,-4.3878,-59.5939,Hotel da Amazônia
269,Alofi,NU,75.09,light intensity drizzle,-19.0595,-169.9187,Taloa Heights
270,Nha Trang,VN,89.6,scattered clouds,12.25,109.1833,Hanoi Golden Hotel
273,Alyangula,AU,78.67,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
275,Atambua,ID,83.88,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
277,Gat,IL,72.39,scattered clouds,31.61,34.7642,OlusHome
278,Souillac,MU,76.53,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
279,Benjamin Constant,BR,77.13,overcast clouds,-4.3831,-70.0311,CASA AVALIADA
280,Padang,ID,86.81,scattered clouds,-0.9492,100.3543,Mercure Padang
281,Maroantsetra,MG,73.54,broken clouds,-15.4333,49.7333,Annexe Vatsy Hôtel
282,Dali,CN,74.43,clear sky,25.7,100.1833,Dali Travelling With Hostel
284,Tura,IN,86.79,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
288,Sao Miguel Do Araguaia,BR,71.26,clear sky,-13.275,-50.1628,Hotel Executivo Palace
289,Wanxian,CN,82.74,overcast clouds,30.8039,108.3897,7Days Inn Chongqing Shiqiaopu
294,Najran,SA,74.21,clear sky,17.4924,44.1277,محمد هادي ال فطيح
295,Le Vauclin,MQ,77.85,clear sky,14.5452,-60.8388,Hôtel Cap Macabou
297,Nishihara,JP,84.25,broken clouds,26.1842,127.7558,Minshuku Agaihama
299,Safaga,EG,75.94,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
300,Hambantota,LK,84.54,scattered clouds,6.1241,81.1185,Bungalow 63
304,Sibu,MY,85.51,overcast clouds,2.3,111.8167,RH HOTEL (4 Star)
308,Namatanai,PG,85.53,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
309,Noumea,NC,82.38,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
313,Poum,NC,78.39,overcast clouds,-20.2333,164.0167,
315,Male,MV,84.4,few clouds,4.1748,73.5089,Hotel Octave Maldives
318,Caravelas,BR,74.39,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
320,Shimoda,JP,74.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
322,Omboue,GA,76.95,moderate rain,-1.5746,9.2618,Hotel Olako
323,Libreville,GA,75.43,moderate rain,0.3925,9.4537,Le Méridien Re-Ndama
324,Riyadh,SA,73.54,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
325,Buraydah,SA,73.72,few clouds,26.326,43.975,Mövenpick Qassim
335,Beloha,MG,71.69,overcast clouds,-25.1667,45.05,
340,Kisanga,TZ,70.16,overcast clouds,-7.4362,37.7034,
348,Khartoum,SD,86.54,overcast clouds,15.5518,32.5324,Hotel China
357,Bambous Virieux,MU,74.21,light rain,-20.3428,57.7575,Casa Tia Villa
360,San Patricio,US,73.89,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
361,Dicabisagan,PH,87.39,few clouds,17.0818,122.4157,Nancy Montanes Bernardo
365,Hobyo,SO,83.79,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
368,La Orilla,MX,75.04,clear sky,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
373,Meulaboh,ID,84.2,overcast clouds,4.1363,96.1285,Kost Pria
382,Zabol,AF,73.13,broken clouds,32.25,67.25,
384,Port-Gentil,GA,78.13,heavy intensity rain,-0.7193,8.7815,Fengshui Residence
386,Mareeba,AU,84.43,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
390,Port Moresby,PG,84.27,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
392,Akyab,MM,87.17,scattered clouds,20.15,92.9,Hotel Memory
393,Ballina,AU,75.02,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
395,Soyo,AO,76.55,moderate rain,-6.1349,12.3689,Hotel Mpampa
396,Sinnamary,GF,77.83,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
402,Villamontes,BO,72.99,scattered clouds,-21.25,-63.5,Hotel Raldes
403,Chaozhou,CN,87.66,few clouds,23.6651,116.6379,Seven Corner View Homestay
404,Manggar,ID,88.65,light rain,-2.8833,108.2667,Guest Hotel
408,Sola,VU,80.49,overcast clouds,-13.8833,167.55,Leumerus Bungalows
413,Naifaru,MV,84.67,scattered clouds,5.4444,73.3657,Naifaru Residence Guest House
415,Moerai,PF,80.06,overcast clouds,-22.4333,-151.3333,Le Manotel
416,Piacabucu,BR,76.12,few clouds,-10.4056,-36.4344,Piaçabuçu News
424,Gurupa,BR,73.29,overcast clouds,-1.405,-51.64,Hotel Vitória
428,Nacala,MZ,72.7,broken clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
429,Saint-Georges,GD,77.74,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
430,Rocha,UY,70.07,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
431,Awjilah,LY,71.87,overcast clouds,29.1081,21.2869,المنزل
433,Ginda,IN,78.13,clear sky,30.6945,78.4932,Sunil Bisht
440,Uvira,CD,70.43,light rain,-3.4067,29.1458,Hotel Suzana
441,Belawan,ID,86.29,broken clouds,3.7755,98.6832,Rumah Mamak Bapak M.Radial
446,Odweyne,SO,75.7,light rain,9.4092,45.064,Eng Hiirey House
449,Kawalu,ID,84.83,overcast clouds,-7.3817,108.2082,West Jontor
451,Antalaha,MG,73.9,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
452,Miandrivazo,MG,74.41,broken clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
453,Da Lat,VN,82.69,few clouds,11.9465,108.4419,YK Home Villa Dalat
456,Marsh Harbour,BS,73.83,clear sky,26.5412,-77.0636,Abaco Beach Resort
457,Rongcheng,CN,71.44,overcast clouds,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
461,Tiarei,PF,84.22,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
464,Eyl,SO,81.88,overcast clouds,7.9803,49.8164,Amiin Hotel
466,Sungaipenuh,ID,81.61,broken clouds,-2.0833,101.3833,Penginapan Citra Alam
469,Moron,AR,76.89,broken clouds,-34.6534,-58.6198,Hotel Morón
472,Aswan,EG,78.42,scattered clouds,24.0934,32.907,Nuba Nile
480,Bata,GQ,77.09,overcast clouds,1.8639,9.7658,Hotel Elik Melen
482,Panama City,PA,79.18,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
484,Indramayu,ID,84.15,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
485,Kokopo,PG,83.91,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
486,Lorengau,PG,83.12,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
489,Esperantina,BR,73.22,overcast clouds,-3.9017,-42.2336,Pousada Recanto Das Aguas
490,Naze,JP,74.32,overcast clouds,28.3667,129.4833,Shishime Hotel
494,Takoradi,GH,79.34,overcast clouds,4.8845,-1.7554,Raybow International Hotel
496,Boa Vista,BR,78.78,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
498,Jardim,BR,79.27,broken clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
499,Garowe,SO,76.01,broken clouds,8.4054,48.4845,Curubo Hotel
500,Bowen,AU,79.97,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
503,Uri,IN,75.16,clear sky,34.0833,74.0333,Hotel Uri Hills
506,Kpandae,GH,79.86,broken clouds,8.4689,-0.0113,S. Amaski Guest House
513,Cabo Rojo,PR,75.97,scattered clouds,18.0866,-67.1457,Hotel Perichi's
514,Faanui,PF,82.9,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
519,Kota Tinggi,MY,87.84,broken clouds,1.7381,103.8999,Canopy Tribe
522,Falam,MM,88.61,clear sky,22.9167,93.6833,Falang Government Guesthouse
529,Bouake,CI,73.29,overcast clouds,7.6895,-5.0218,Hotel Residence Nannan
535,Muisne,EC,77.02,overcast clouds,0.6,-80.0333,Quinta Samay
536,Tulum,MX,73.44,scattered clouds,20.2167,-87.4667,Kin Ha Tulum
542,Alice Springs,AU,85.55,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
544,Cabo San Lucas,MX,78.1,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
546,Ciudad Bolivar,VE,76.73,overcast clouds,8.1222,-63.5497,Hotel Edi
550,Sabha,LY,75.4,overcast clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
553,Road Town,VG,75.29,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
556,Sao Joao Da Barra,BR,75.31,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
559,Loudi,CN,77.56,overcast clouds,27.7344,111.9944,Till Bright Hotel
563,Bima,ID,88.66,overcast clouds,-8.4667,118.7167,Lambitu Hotel
565,Abu Dhabi,AE,86.02,clear sky,24.4667,54.3667,Beach Rotana
566,Mitu,CO,71.62,overcast clouds,1.1983,-70.1733,
568,Awbari,LY,72.03,overcast clouds,26.5921,12.7805,فندق أوباري
572,Ankpa,NG,74.25,broken clouds,7.3706,7.6253,AA Suites
578,Oum Hadjer,TD,88.23,overcast clouds,13.2954,19.6966,
579,Uthal,PK,88.02,clear sky,25.8072,66.6219,Al-Mustafa Hotel
580,Port Blair,IN,85.08,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
583,Honiara,SB,85.51,overcast clouds,-9.4333,159.95,Heritage Park Hotel
588,Amarante Do Maranhao,BR,70.95,overcast clouds,-5.5667,-46.7422,Hotéis Caçulinha
590,Kutum,SD,75.61,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
591,Santa Cruz,BO,78.26,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
592,Ariquemes,BR,76.93,overcast clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
593,Ambulu,ID,86.92,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
596,Cabedelo,BR,75.87,clear sky,-6.9811,-34.8339,Hotel Pigalle
597,Miri,MY,80.8,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
598,Ixtapa,MX,72.63,clear sky,20.7,-105.2,hotel la terminal
599,Acapulco,MX,80.42,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
600,Tual,ID,84.16,broken clouds,-5.6667,132.75,Grand Vilia Hotel
601,Savelugu,GH,86.86,overcast clouds,9.6244,-0.8253,Yoo Naa's Palace
602,Bintulu,MY,75.38,overcast clouds,3.1667,113.0333,900 Boutique INN
604,Roebourne,AU,84.18,overcast clouds,-20.7833,117.1333,Latitude20 Roebourne Village
608,Umiray,PH,85.21,scattered clouds,15.2206,121.4111,The Chairmans Residence
609,Tete,MZ,73.49,scattered clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
611,Coahuayana,MX,71.22,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
612,Gigmoto,PH,84.61,heavy intensity rain,13.7796,124.39,Cj's Travellers Inn
614,Touros,BR,75.58,clear sky,-5.1989,-35.4608,INN NEW HORIZON
619,Concordia,AR,77.79,light rain,-31.393,-58.0209,Palmar Hotel Casino
620,Nelson Bay,AU,74.08,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
621,Manoel Urbano,BR,73.94,broken clouds,-8.8389,-69.2597,Baixada Beira Rio
626,Warri,NG,76.77,overcast clouds,5.5167,5.75,BON Hotel Delta
628,Maunabo,PR,76.84,broken clouds,18.0072,-65.8993,Maunacaribe
632,Ngama,TD,89.08,broken clouds,11.7833,17.1667,
634,Lagunas,PE,74.14,broken clouds,-5.2269,-75.6753,Hospedaje Eco
637,Xichang,CN,77.56,clear sky,27.8964,102.2634,Xichang ibis Hotel
640,Katobu,ID,82.9,overcast clouds,-4.9408,122.5276,La Ode Husein
641,Iquitos,PE,77.04,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
642,Toamasina,MG,72.41,clear sky,-18.1667,49.3833,Hotel H1
654,Mazagao,BR,77.05,overcast clouds,-0.115,-51.2894,Recanto dos Ferreiras
656,Bandarbeyla,SO,82.71,scattered clouds,9.4942,50.8122,JABIR HOTEL
657,Mogadishu,SO,83.41,overcast clouds,2.0371,45.3438,Hotel Juba
659,Dire Dawa,ET,74.39,scattered clouds,9.5931,41.8661,Samrat Hotel
663,Cap Malheureux,MU,74.46,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
674,Nurota,UZ,70.21,broken clouds,40.5614,65.6886,Guest House Ruslan Nurata & Tours
679,Tizimin,MX,72.95,scattered clouds,21.15,-88.15,silva hogar
682,Booue,GA,71.98,light rain,-0.0921,11.9385,Splendeur de l'équateur
