City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Vila Franca Do Campo,PT,37.7167,-25.4333,66.2,92,28,11.63,scattered clouds
80,Qasigiannguit,GL,68.8193,-51.1922,36.45,79,100,8.99,overcast clouds
81,Dan Khun Thot,TH,15.2085,101.7714,97.32,40,11,9.26,few clouds
82,Torbay,CA,47.6666,-52.7314,35.89,94,100,5.01,mist
83,Karratha,AU,-20.7377,116.8463,83.07,53,100,11.01,overcast clouds
84,Dikson,RU,73.5069,80.5464,18.63,85,96,15.35,overcast clouds
85,Saint-Philippe,RE,-21.3585,55.7679,75.22,82,43,7.63,light rain
86,Torres,BR,-29.3353,-49.7269,73.83,91,43,7.43,scattered clouds
87,Hithadhoo,MV,-0.6,73.0833,84.27,73,80,5.26,broken clouds
88,Lompoc,US,34.6391,-120.4579,53.94,82,0,11.5,clear sky
89,Cockburn Town,TC,21.4612,-71.1419,76.82,68,3,17.09,clear sky
90,Pevek,RU,69.7008,170.3133,34.95,71,100,23.15,overcast clouds
91,Te Anau,NZ,-45.4167,167.7167,56.93,66,53,2.42,broken clouds
92,Fukue,JP,32.6881,128.8419,71.96,78,0,14.97,clear sky
93,Egvekinot,RU,66.3167,-179.1667,28.33,87,100,1.81,overcast clouds
94,Tilichiki,RU,60.4667,166.1,31.96,100,100,6.06,overcast clouds
95,Bereda,ES,43.2686,-7.5406,47.57,100,24,1.45,few clouds
96,Vila Velha,BR,-20.3297,-40.2925,71.94,95,20,2.3,few clouds
97,Nuuk,GL,64.1835,-51.7216,35.28,92,100,31.29,light snow
98,Hailey,US,43.5196,-114.3153,40.8,63,8,8.01,clear sky
99,Yulara,AU,-25.2406,130.9889,82.24,23,85,9.22,overcast clouds
100,Ailigandi,PA,9.2333,-78.0167,79.12,86,100,3.15,overcast clouds
101,Leh,IN,34.1667,77.5833,44.01,43,6,1.63,clear sky
102,Hami,CN,42.8,93.45,61.41,34,35,5.06,scattered clouds
103,Ribeira Grande,PT,38.5167,-28.7,63.41,94,97,24.32,overcast clouds
104,Vaini,TO,-21.2,-175.2,78.96,61,20,10.36,few clouds
